timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance,year,month,day,hour,minute,time,date,asset_encoded,side_encoded,price_change,price_change_pct,win
2025-03-01 09:30:00,NVDA,SELL,29.0,181.42191950373507,180.38365545964288,-30.10965727867344,9969.890342721326,2025,3,1,9,30,09:30,2025-03-01,5.0,1.0,-1.0382640440921875,-0.5722925029854576,0
2025-03-01 09:31:00,MSFT,BUY,182.0,2484.9298821289417,2485.1304804359424,36.50889187413577,9983.351637840158,2025,3,1,9,31,09:31,2025-03-01,3.0,0.0,0.200598307000746,0.008072594258832172,1
2025-03-01 09:32:00,NFLX,BUY,38.0,396.9754621379618,396.99371834948977,0.6937360380622977,10059.707484477363,2025,3,1,9,32,09:32,2025-03-01,4.0,0.0,0.018256211527955202,0.004598826191834138,1
2025-03-01 09:33:00,NVDA,BUY,76.0,1773.306824263329,1771.6857093386564,-123.20473427511844,9936.502750202248,2025,3,1,9,33,09:33,2025-03-01,5.0,0.0,-1.6211149246726109,-0.09141762172747844,0
2025-03-01 09:34:00,NVDA,BUY,,3243.2426771789565,3241.91857545992,,9770.990035322608,2025,3,1,9,34,09:34,2025-03-01,5.0,0.0,-1.324101719036662,-0.04082647679600697,0
2025-03-01 09:35:00,AMZN,BUY,107.0,307.25658214541727,307.5059326395595,26.680502873217563,9818.93296439322,2025,3,1,9,35,09:35,2025-03-01,1.0,0.0,0.2493504941422202,0.08115383319085694,1
2025-03-01 09:36:00,AAPL,SELL,37.0,2711.3425278403706,2711.2908212173784,-1.913145050712956,9817.019819342506,2025,3,1,9,36,09:36,2025-03-01,0.0,1.0,-0.051706622992242046,-0.0019070487207467376,0
2025-03-01 09:37:00,AMZN,SELL,1.0,3300.9517130300687,3301.690546689576,0.738833659507236,9817.758653002014,2025,3,1,9,37,09:37,2025-03-01,1.0,1.0,0.738833659507236,0.02238244372345067,1
2025-03-01 09:38:00,AAPL,BUY,83.0,3289.01006309034,3291.029004773067,167.5721596663425,9985.330812668357,2025,3,1,9,38,09:38,2025-03-01,0.0,0.0,2.018941682727018,0.06138447873370229,1
2025-03-01 09:39:00,AAPL,BUY,8.0,1182.8166978862394,1183.0031737535337,1.4918069383529655,9991.119841152757,2025,3,1,9,39,09:39,2025-03-01,0.0,0.0,0.18647586729434806,0.015765407068364105,1
2025-03-01 09:40:00,MSFT,SELL,121.0,2398.0175179382154,2394.430348213433,-434.04753669869433,9557.07230445406,2025,3,1,9,40,09:40,2025-03-01,3.0,1.0,-3.5871697247825978,-0.14958897080396644,0
2025-03-01 09:41:00,GOOG,SELL,15.0,2314.489157539023,2314.6094831439973,1.8048840746155288,9568.980843392852,2025,3,1,9,41,09:41,2025-03-01,2.0,1.0,0.12032560497436862,0.005198797522227749,1
2025-03-01 09:42:00,NVDA,SELL,76.0,1561.7017923113767,1561.8507893190183,11.323772580777586,9482.583308889323,2025,3,1,9,42,09:42,2025-03-01,5.0,1.0,0.14899700764158297,0.009540682374517984,1
2025-03-01 09:43:00,NFLX,BUY,78.0,1593.8158684953166,1594.7898885605173,75.97356508565053,9558.556873974974,2025,3,1,9,43,09:43,2025-03-01,4.0,0.0,0.9740200652006479,0.06111245875097209,1
2025-03-01 09:44:00,TSLA,SELL,186.0,3077.5898473774573,3079.394819747176,335.72486076765927,9894.281734742632,2025,3,1,9,44,09:44,2025-03-01,6.0,1.0,1.8049723697185982,0.05864889277746644,1
2025-03-01 09:45:00,AMZN,SELL,89.0,1426.040970429346,1426.780373879832,65.80690709326996,9960.088641835902,2025,3,1,9,45,09:45,2025-03-01,1.0,1.0,0.7394034504859519,0.05185008466224751,1
2025-03-01 09:46:00,TSLA,SELL,165.0,3464.7387614691165,3458.9503131921497,-955.0939656995296,9004.994676136374,2025,3,1,9,46,09:46,2025-03-01,6.0,1.0,-5.788448276966847,-0.1670673801251449,0
2025-03-01 09:47:00,MSFT,SELL,98.0,356.1414019340886,355.44166339103225,-68.57437721952283,8936.42029891685,2025,3,1,9,47,09:47,2025-03-01,3.0,1.0,-0.6997385430563554,-0.19647773026564785,0
2025-03-01 09:48:00,MSFT,SELL,82.0,630.3678399008397,630.1224272900026,-20.123834088641612,8916.296464828209,2025,3,1,9,48,09:48,2025-03-01,3.0,1.0,-0.24541261083709287,-0.03893165153788582,0
2025-03-01 09:49:00,,SELL,43.0,733.6101134020945,731.6704493613934,-83.40555375014867,8832.89091107806,2025,3,1,9,49,09:49,2025-03-01,,1.0,-1.9396640407011319,-0.2643998501746383,0
2025-03-01 09:50:00,NVDA,SELL,137.0,875.5126007709821,877.123452298211,220.68665923035576,9053.577570308416,2025,3,1,9,50,09:50,2025-03-01,5.0,1.0,1.6108515272288741,0.18398953091141668,1
2025-03-01 09:51:00,AAPL,BUY,21.0,554.5078366044265,554.9960989311561,10.253508861320938,9063.831079169737,2025,3,1,9,51,09:51,2025-03-01,0.0,0.0,0.4882623267295685,0.0880532779697907,1
2025-03-01 09:52:00,NVDA,BUY,196.0,3314.80340858423,3315.5492389140577,146.18274464621754,9210.013823815954,2025,3,1,9,52,09:52,2025-03-01,5.0,0.0,0.7458303298276405,0.022499986813582666,1
2025-03-01 09:53:00,MSFT,SELL,179.0,208.07245131812203,209.01372218396227,168.4874849854026,9378.501308801357,2025,3,1,9,53,09:53,2025-03-01,3.0,1.0,0.941270865840238,0.4523764966853438,1
2025-03-01 09:54:00,MSFT,BUY,115.0,1157.1786312044608,1155.2844945858976,-217.8257111347625,9160.675597666594,2025,3,1,9,54,09:54,2025-03-01,3.0,0.0,-1.8941366185631523,-0.1636857584028856,0
2025-03-01 09:55:00,NVDA,BUY,131.0,1900.4503854409743,1900.5641023226924,14.896911505073604,9130.511715400376,2025,3,1,9,55,09:55,2025-03-01,5.0,0.0,0.11371688171811911,0.005983680636405176,1
2025-03-01 09:56:00,AMZN,SELL,195.0,425.596214590279,425.7128986395059,22.75338959925193,9934.168402644464,2025,3,1,9,56,09:56,2025-03-01,1.0,1.0,0.11668404922693298,0.027416608801200122,1
2025-03-01 09:57:00,TSLA,SELL,144.0,580.5344979733109,578.4642987273588,-298.1086914170937,9636.05971122737,2025,3,1,9,57,09:57,2025-03-01,6.0,1.0,-2.0701992459520397,-0.35660227827618507,0
2025-03-01 09:58:00,MSFT,BUY,113.0,2489.3209674934333,2488.050168785547,-143.600253991131,9492.45945723624,2025,3,1,9,58,09:58,2025-03-01,3.0,0.0,-1.2707987078861152,-0.051050014219970914,0
2025-03-01 09:59:00,AMZN,BUY,196.0,2725.794396443216,2725.031405565199,-149.5462120913835,9342.913245144857,2025,3,1,9,59,09:59,2025-03-01,1.0,0.0,-0.7629908780172627,-0.027991505119126372,0
2025-03-01 10:00:00,NFLX,SELL,67.0,1953.1262881258856,1952.0027601019608,-75.27637760297625,9267.63686754188,2025,3,1,10,0,10:00,2025-03-01,4.0,1.0,-1.1235280239247913,-0.05752459688630109,0
2025-03-01 10:01:00,GOOG,SELL,127.0,809.0578836007606,809.3637085950754,38.83977427797652,9266.932219420802,2025,3,1,10,1,10:01,2025-03-01,2.0,1.0,0.3058249943147757,0.03780013772978556,1
2025-03-01 10:02:00,AAPL,BUY,77.0,564.8310055588839,561.1690036901937,-281.9741438891496,8984.958075531653,2025,3,1,10,2,10:02,2025-03-01,0.0,0.0,-3.662001868690254,-0.6483358442879404,0
2025-03-01 10:03:00,,BUY,16.0,2215.9158055041444,2216.3489012164214,6.9295313964321394,8991.887606928085,2025,3,1,10,3,10:03,2025-03-01,,0.0,0.4330957122770087,0.01954477291967665,1
2025-03-01 10:04:00,GOOG,SELL,113.0,741.7310261343895,744.2465154483043,284.25029247237546,9276.13789940046,2025,3,1,10,4,10:04,2025-03-01,2.0,1.0,2.515489313914827,0.33913766922014416,1
2025-03-01 10:05:00,MSFT,BUY,189.0,659.3948306929841,659.8687561056795,89.57190299942943,9365.70980239989,2025,3,1,10,5,10:05,2025-03-01,3.0,0.0,0.4739254126953938,0.07187278253263327,1
2025-03-01 10:06:00,AMZN,BUY,4.0,1591.6105667227048,1593.8324593938316,8.88757068450741,9374.597373084398,2025,3,1,10,6,10:06,2025-03-01,1.0,0.0,2.2218926711268523,0.13960027142204548,1
