timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance,year,month,day,hour,minute,time,date,asset_encoded,side_encoded,price_change,price_change_pct,win
2025-03-01 09:30:00,NFLX,SELL,4.0,1754.2560657339843,1756.0972839206006,7.364872746465153,10007.364872746464,2025,3,1,9,30,09:30,2025-03-01,4.0,1.0,1.8412181866162882,0.1049572079345166,1
2025-03-01 09:31:00,NVDA,BUY,36.0,1294.3103418670944,1295.917635224856,57.86256087941729,10065.227433625882,2025,3,1,9,31,09:31,2025-03-01,5.0,0.0,1.6072933577615913,0.12418145059731242,1
2025-03-01 09:32:00,AMZN,BUY,178.0,1966.2724934208509,1969.666302489889,604.0980142887765,10669.32544791466,2025,3,1,9,32,09:32,2025-03-01,1.0,0.0,3.3938090690380704,0.17260115677729093,1
2025-03-01 09:33:00,NFLX,SELL,131.0,2536.847036885663,2535.15581201756,-221.55045772153107,10447.774990193127,2025,3,1,9,33,09:33,2025-03-01,4.0,1.0,-1.691224868102836,-0.06666641084434687,0
2025-03-01 09:34:00,TSLA,SELL,1.0,915.8562134054976,915.0316449005636,-0.8245685049341773,10446.950421688194,2025,3,1,9,34,09:34,2025-03-01,6.0,1.0,-0.82456850493395,-0.09003252834502203,0
2025-03-01 09:35:00,AMZN,BUY,17.0,591.9385843197384,589.4198672666482,-42.81818990253339,10404.13223178566,2025,3,1,9,35,09:35,2025-03-01,1.0,0.0,-2.5187170530901994,-0.4255031045129003,0
2025-03-01 09:36:00,AMZN,BUY,199.0,1009.284768073687,1006.2898782732908,-595.9830702788229,9808.149161506835,2025,3,1,9,36,09:36,2025-03-01,1.0,0.0,-2.9948898003962086,-0.29673387483219743,0
2025-03-01 09:37:00,NFLX,BUY,62.0,56.08297773407398,55.99434692522233,-5.495110148802127,9802.654051358037,2025,3,1,9,37,09:37,2025-03-01,4.0,0.0,-0.0886308088516472,-0.15803513371187913,0
2025-03-01 09:38:00,MSFT,BUY,48.0,464.0446965639435,464.58183958072857,25.782864805683857,9828.43691616372,2025,3,1,9,38,09:38,2025-03-01,3.0,0.0,0.5371430167850804,0.11575243091072893,1
2025-03-01 09:39:00,TSLA,BUY,62.0,2640.364754717853,2641.3754750795647,62.6646624260984,9891.101578589818,2025,3,1,9,39,09:39,2025-03-01,6.0,0.0,1.0107203617117193,0.038279573301595746,1
2025-03-01 09:40:00,NFLX,SELL,69.0,818.6836062809838,817.2890424226705,-96.22490622361704,9794.8766723662,2025,3,1,9,40,09:40,2025-03-01,4.0,1.0,-1.3945638583132904,-0.17034222349319358,0
